Dates,Values
2005-01-01,21974
2005-02-01,22303
2005-03-01,22085
2005-04-01,21036
2005-05-01,20849
2005-06-01,20549
2005-07-01,19873
2005-08-01,20210
2005-09-01,20554
2005-10-01,20919
2005-11-01,20599
2005-12-01,20470
2006-01-01,21140
2006-02-01,20980
2006-03-01,20578
2006-04-01,19687
2006-05-01,19047
2006-06-01,18859
2006-07-01,18517
2006-08-01,18649
2006-09-01,18708
2006-10-01,18706
2006-11-01,18727
2006-12-01,18316
2007-01-01,18552
2007-02-01,18559
2007-03-01,17842
2007-04-01,17051
2007-05-01,16758
2007-06-01,16420
2007-07-01,16497
2007-08-01,16475
2007-09-01,16470
2007-10-01,16406
2007-11-01,16449
2007-12-01,16510
2008-01-01,16989
2008-02-01,16904
2008-03-01,16597
2008-04-01,16392
2008-05-01,16051
2008-06-01,16430
2008-07-01,16142
2008-08-01,16284
2008-09-01,16499
2008-10-01,16985
2008-11-01,17582
2008-12-01,18328
2009-01-01,19940
2009-02-01,21067
2009-03-01,21327
2009-04-01,21243
2009-05-01,20940
2009-06-01,20972
2009-07-01,21131
2009-08-01,21305
2009-09-01,21796
2009-10-01,22089
2009-11-01,22308
2009-12-01,22479
2010-01-01,23920
2010-02-01,24383
2010-03-01,23912
2010-04-01,23410
2010-05-01,22880
2010-06-01,22336
2010-07-01,22209
2010-08-01,22036
2010-09-01,22475
2010-10-01,22946
2010-11-01,22829
2010-12-01,22840
2011-01-01,23614
2011-02-01,23644
2011-03-01,23407
2011-04-01,22626
2011-05-01,22464
2011-06-01,22282
2011-07-01,22365
2011-08-01,22590
2011-09-01,22990
2011-10-01,23524
2011-11-01,24098
2011-12-01,24196
2012-01-01,25278
2012-02-01,25596
2012-03-01,25565
2012-04-01,25028
2012-05-01,24946
2012-06-01,24669
2012-07-01,24696
2012-08-01,24652
2012-09-01,25144
2012-10-01,25799
2012-11-01,26176
2012-12-01,25979
2013-01-01,27577
2013-02-01,27790
2013-03-01,27292
2013-04-01,26755
2013-05-01,26292
2013-06-01,25805
2013-07-01,25501
2013-08-01,25459
2013-09-01,25813
2013-10-01,25918
2013-11-01,26144
2013-12-01,25629
2014-01-01,26785
2014-02-01,26804
2014-03-01,26226
2014-04-01,25242
2014-05-01,24692
2014-06-01,23898
2014-07-01,23668
2014-08-01,23648
2014-09-01,24058
2014-10-01,24410
2014-11-01,24755
2014-12-01,23792
2015-01-01,24626
2015-02-01,24798
2015-03-01,24365
2015-04-01,23566
2015-05-01,22989
2015-06-01,22652
2015-07-01,21902
2015-08-01,21594
2015-09-01,21962
2015-10-01,22226
2015-11-01,22201
2015-12-01,21941
2016-01-01,22430
2016-02-01,22560
2016-03-01,22097
2016-04-01,21345
2016-05-01,20957
2016-06-01,20611
2016-07-01,20215
2016-08-01,20082
2016-09-01,20257
2016-10-01,20343
2016-11-01,20477
2016-12-01,19893
2017-01-01,20512
2017-02-01,20443
2017-03-01,19929
2017-04-01,19203
2017-05-01,18713
2017-06-01,18155
2017-07-01,18172
2017-08-01,18155
2017-09-01,18121
2017-10-01,18199
2017-11-01,18027
2017-12-01,17705
